order_id,customer_id,product_id,order_date,quantity,price
ORDER00200,CUST000453,PROD000003,2024-02-03,3,80.75
ORDER00201,CUST000204,PROD000023,2024-09-02,5,75.75
ORDER00202,CUST000211,PROD000025,2024-07-28,5,20.25
ORDER00203,CUST000038,PROD000005,2024-06-11,1,30.25
ORDER00204,CUST000231,PROD000015,2024-12-14,5,200.50
ORDER00205,CUST000177,PROD000005,2024-10-09,5,30.25
ORDER00206,CUST000094,PROD000025,2024-03-07,0,20.25
ORDER00207,CUST000222,PROD000017,2024-01-29,1,30.75
ORDER00208,CUST000266,PROD000005,2024-06-04,2,30.25
ORDER00209,CUST000083,PROD000011,2024-12-29,2,25.25
ORDER00210,CUST000178,PROD000017,2024-05-25,1,30.75
ORDER00211,CUST000129,PROD000007,2024-11-21,5,35.50
ORDER00212,CUST000141,PROD000005,2024-11-16,0,30.25
ORDER00213,CUST000156,PROD000020,2024-09-30,1,20.25
ORDER00214,CUST000258,PROD000021,2024-03-27,5,25.25
ORDER00215,CUST000483,PROD000019,2024-03-19,2,15.50
ORDER00216,CUST000338,PROD000020,2024-11-05,3,20.25
ORDER00217,CUST000432,PROD000030,2024-10-15,1,35.50
ORDER00218,CUST000423,PROD000028,2024-01-15,1,45.75
ORDER00219,CUST000024,PROD000021,2024-10-22,3,25.25
ORDER00220,CUST000334,PROD000007,2024-10-19,4,35.50
ORDER00221,CUST000317,PROD000021,2024-01-16,4,25.25
ORDER00222,CUST000456,PROD000021,2024-10-06,3,25.25
ORDER00223,CUST000329,PROD000010,2024-09-04,2,55.75
ORDER00224,CUST000413,PROD000026,2024-12-16,4,25.50
ORDER00225,CUST000153,PROD000015,2024-02-07,1,200.50
ORDER00226,CUST000081,PROD000015,2024-07-31,4,200.50
ORDER00227,CUST000238,PROD000007,2024-06-23,5,35.50
ORDER00228,CUST000074,PROD000011,2024-06-12,3,25.25
ORDER00229,CUST000500,PROD000013,2024-03-07,3,150.75
ORDER00230,CUST000264,PROD000018,2024-02-24,3,35.50
ORDER00231,CUST000124,PROD000015,2024-03-03,3,200.50
ORDER00232,CUST000231,PROD000008,2024-03-13,1,20.75
ORDER00233,CUST000026,PROD000010,2024-07-15,5,55.75
ORDER00234,CUST000215,PROD000008,2024-03-22,3,20.75
ORDER00235,CUST000479,PROD000019,2024-06-09,2,15.50
ORDER00236,CUST000391,PROD000006,2024-09-12,5,15.50
ORDER00237,CUST000240,PROD000016,2024-06-06,4,45.25
ORDER00238,CUST000012,PROD000003,2024-07-20,0,80.75
ORDER00239,CUST000259,PROD000015,2024-05-03,2,200.50
ORDER00240,CUST000299,PROD000012,2024-01-25,1,40.25
ORDER00241,CUST000145,PROD000016,2024-11-01,4,45.25
ORDER00242,CUST000147,PROD000018,2024-01-05,1,35.50
ORDER00243,CUST000221,PROD000005,2024-05-15,3,30.25
ORDER00244,CUST000392,PROD000013,2024-07-06,1,150.75
ORDER00245,CUST000206,PROD000002,2024-10-18,5,150.50
ORDER00246,CUST000100,PROD000012,2024-10-10,3,40.25
ORDER00247,CUST000038,PROD000013,2024-09-15,4,150.75
ORDER00248,CUST000392,PROD000018,2024-05-23,5,35.50
ORDER00249,CUST000349,PROD000020,2024-03-01,2,20.25
ORDER00250,CUST000500,PROD000004,2024-07-20,3,25.25
ORDER00251,CUST000407,PROD000011,2024-10-12,3,25.25
ORDER00252,CUST000387,PROD000005,2024-04-11,5,30.25
ORDER00253,CUST000261,PROD000013,2024-09-13,1,150.75
ORDER00254,CUST000024,PROD000002,2024-03-11,3,150.50
ORDER00255,CUST000412,PROD000016,2024-09-22,4,45.25
ORDER00256,CUST000077,PROD000020,2024-09-20,0,20.25
ORDER00257,CUST000072,PROD000011,2024-11-09,3,25.25
ORDER00258,CUST000084,PROD000013,2024-11-11,3,150.75
ORDER00259,CUST000304,PROD000011,2024-09-16,5,25.25
ORDER00260,CUST000273,PROD000016,2024-12-28,5,45.25
ORDER00261,CUST000154,PROD000016,2024-01-09,3,45.25
ORDER00262,CUST000170,PROD000022,2024-02-26,4,15.75
ORDER00263,CUST000299,PROD000010,2024-12-18,1,55.75
ORDER00264,CUST000306,PROD000016,2024-05-15,5,45.25
ORDER00265,CUST000296,PROD000008,2024-01-27,5,20.75
ORDER00266,CUST000246,PROD000006,2024-09-25,5,15.50
ORDER00267,CUST000397,PROD000027,2024-07-13,2,10.25
ORDER00268,CUST000421,PROD000022,2024-05-04,1,15.75
ORDER00269,CUST000294,PROD000023,2024-02-26,0,75.75
ORDER00270,CUST000098,PROD000001,2024-08-13,3,60.25
ORDER00271,CUST000215,PROD000005,2024-07-30,2,30.25
ORDER00272,CUST000211,PROD000017,2024-11-09,4,30.75
ORDER00273,CUST000447,PROD000028,2024-02-01,2,45.75
ORDER00274,CUST000266,PROD000007,2024-10-14,0,35.50
ORDER00275,CUST000167,PROD000022,2024-09-01,5,15.75
ORDER00276,CUST000193,PROD000011,2024-03-29,4,25.25
ORDER00277,CUST000468,PROD000018,2024-06-24,5,35.50
ORDER00278,CUST000182,PROD000022,2024-12-14,3,15.75
ORDER00279,CUST000313,PROD000016,2024-04-08,2,45.25
ORDER00280,CUST000143,PROD000018,2024-06-01,2,35.50
ORDER00281,CUST000483,PROD000010,2024-05-27,2,55.75
ORDER00282,CUST000354,PROD000023,2024-09-07,3,75.75
ORDER00283,CUST000246,PROD000012,2024-10-13,3,40.25
ORDER00284,CUST000148,PROD000004,2024-10-20,5,25.25
ORDER00285,CUST000195,PROD000029,2024-07-21,3,30.25
ORDER00286,CUST000489,PROD000025,2024-03-15,3,20.25
ORDER00287,CUST000022,PROD000010,2024-02-10,3,55.75
ORDER00288,CUST000474,PROD000015,2024-12-01,3,200.50
ORDER00289,CUST000383,PROD000016,2024-04-19,2,45.25
ORDER00290,CUST000424,PROD000018,2024-05-18,5,35.50
ORDER00291,CUST000357,PROD000009,2024-03-11,1,70.75
ORDER00292,CUST000316,PROD000024,2024-10-27,2,120.50
ORDER00293,CUST000125,PROD000002,2024-12-08,5,150.50
ORDER00294,CUST000116,PROD000021,2024-04-29,1,25.25
ORDER00295,CUST000052,PROD000014,2024-06-18,4,50.50
ORDER00296,CUST000052,PROD000022,2024-03-11,1,15.75
ORDER00297,CUST000494,PROD000018,2024-03-21,4,35.50
ORDER00298,CUST000335,PROD000030,2024-08-31,4,35.50
ORDER00299,CUST000334,PROD000007,2024-05-27,3,35.50
ORDER00300,CUST000147,PROD000021,2024-01-31,1,25.25
ORDER00301,CUST000334,PROD000019,2024-04-28,5,15.50
ORDER00302,CUST000379,PROD000024,2024-01-20,2,120.50
ORDER00303,CUST000214,PROD000029,2024-03-31,1,30.25
ORDER00304,CUST000429,PROD000013,2024-09-10,2,150.75
ORDER00305,CUST000480,PROD000024,2024-05-28,0,120.50
ORDER00306,CUST000449,PROD000002,2024-01-05,3,150.50
ORDER00307,CUST000291,PROD000020,2024-02-24,3,20.25
ORDER00308,CUST000146,PROD000015,2024-11-24,5,200.50
ORDER00309,CUST000269,PROD000016,2024-03-09,5,45.25
ORDER00310,CUST000240,PROD000009,2024-04-08,1,70.75
ORDER00311,CUST000170,PROD000006,2024-08-22,3,15.50
ORDER00312,CUST000368,PROD000006,2024-01-08,3,15.50
ORDER00313,CUST000405,PROD000010,2024-10-17,2,55.75
ORDER00314,CUST000090,PROD000020,2024-11-23,4,20.25
ORDER00315,CUST000424,PROD000014,2024-09-20,3,50.50
ORDER00316,CUST000045,PROD000013,2024-12-08,1,150.75
ORDER00317,CUST000095,PROD000005,2024-09-01,3,30.25
ORDER00318,CUST000480,PROD000008,2024-01-04,3,20.75
ORDER00319,CUST000197,PROD000008,2024-08-16,3,20.75
ORDER00320,CUST000489,PROD000011,2024-06-03,5,25.25
ORDER00321,CUST000371,PROD000019,2024-01-06,3,15.50
ORDER00322,CUST000335,PROD000012,2024-12-20,2,40.25
ORDER00323,CUST000032,PROD000022,2024-03-01,0,15.75
ORDER00324,CUST000239,PROD000010,2024-03-22,4,55.75
ORDER00325,CUST000352,PROD000017,2024-12-26,3,30.75
ORDER00326,CUST000354,PROD000004,2024-11-23,3,25.25
ORDER00327,CUST000189,PROD000020,2024-04-23,2,20.25
ORDER00328,CUST000491,PROD000005,2024-09-01,2,30.25
ORDER00329,CUST000233,PROD000024,2024-11-06,3,120.50
ORDER00330,CUST000213,PROD000023,2024-10-08,4,75.75
ORDER00331,CUST000388,PROD000018,2024-12-06,2,35.50
ORDER00332,CUST000391,PROD000008,2024-12-14,5,20.75
ORDER00333,CUST000448,PROD000026,2024-02-11,5,25.50
ORDER00334,CUST000229,PROD000017,2024-12-26,3,30.75
ORDER00335,CUST000040,PROD000030,2024-10-15,1,35.50
ORDER00336,CUST000032,PROD000027,2024-10-07,5,10.25
ORDER00337,CUST000104,PROD000019,2024-10-01,2,15.50
ORDER00338,CUST000085,PROD000011,2024-09-23,4,25.25
ORDER00339,CUST000060,PROD000022,2024-04-15,5,15.75
ORDER00340,CUST000251,PROD000003,2024-09-18,4,80.75
ORDER00341,CUST000415,PROD000002,2024-08-20,2,150.50
ORDER00342,CUST000263,PROD000014,2024-08-21,5,50.50
ORDER00343,CUST000030,PROD000018,2024-08-24,3,35.50
ORDER00344,CUST000371,PROD000001,2024-07-21,3,60.25
ORDER00345,CUST000419,PROD000001,2024-04-21,5,60.25
ORDER00346,CUST000038,PROD000002,2024-08-04,3,150.50
ORDER00347,CUST000359,PROD000003,2024-10-04,1,80.75
ORDER00348,CUST000479,PROD000029,2024-02-05,4,30.25
ORDER00349,CUST000017,PROD000010,2024-07-28,2,55.75
ORDER00350,CUST000394,PROD000005,2024-11-24,4,30.25
ORDER00351,CUST000192,PROD000029,2024-07-14,4,30.25
ORDER00352,CUST000446,PROD000030,2024-07-12,4,35.50
ORDER00353,CUST000042,PROD000022,2024-12-04,5,15.75
ORDER00354,CUST000069,PROD000021,2024-06-27,1,25.25
ORDER00355,CUST000092,PROD000018,2024-07-20,5,35.50
ORDER00356,CUST000066,PROD000024,2024-04-24,0,120.50
ORDER00357,CUST000428,PROD000001,2024-01-12,3,60.25
ORDER00358,CUST000238,PROD000022,2024-10-05,4,15.75
ORDER00359,CUST000273,PROD000013,2024-04-27,2,150.75
ORDER00360,CUST000236,PROD000012,2024-03-20,3,40.25
ORDER00361,CUST000097,PROD000030,2024-02-27,1,35.50
ORDER00362,CUST000415,PROD000022,2024-08-02,5,15.75
ORDER00363,CUST000393,PROD000030,2024-01-09,2,35.50
ORDER00364,CUST000106,PROD000003,2024-02-21,5,80.75
ORDER00365,CUST000018,PROD000015,2024-11-02,1,200.50
ORDER00366,CUST000126,PROD000024,2024-01-23,4,120.50
ORDER00367,CUST000225,PROD000008,2024-10-03,2,20.75
ORDER00368,CUST000387,PROD000028,2024-01-29,2,45.75
ORDER00369,CUST000258,PROD000010,2024-04-29,5,55.75
ORDER00370,CUST000164,PROD000019,2024-11-02,3,15.50
ORDER00371,CUST000122,PROD000010,2024-03-14,5,55.75
ORDER00372,CUST000114,PROD000014,2024-06-02,0,50.50
ORDER00373,CUST000141,PROD000002,2024-10-12,5,150.50
ORDER00374,CUST000451,PROD000024,2024-03-30,4,120.50
ORDER00375,CUST000285,PROD000016,2024-01-25,3,45.25
ORDER00376,CUST000483,PROD000021,2024-12-09,4,25.25
ORDER00377,CUST000403,PROD000017,2024-06-12,0,30.75
ORDER00378,CUST000357,PROD000014,2024-07-28,2,50.50
ORDER00379,CUST000154,PROD000013,2024-04-04,5,150.75
ORDER00380,CUST000243,PROD000008,2024-04-25,3,20.75
ORDER00381,CUST000440,PROD000023,2024-03-14,4,75.75
ORDER00382,CUST000469,PROD000002,2024-10-14,4,150.50
ORDER00383,CUST000496,PROD000014,2024-10-12,5,50.50
ORDER00384,CUST000069,PROD000013,2024-05-04,3,150.75
ORDER00385,CUST000105,PROD000011,2024-11-27,1,25.25
ORDER00386,CUST000473,PROD000015,2024-07-08,1,200.50
ORDER00387,CUST000275,PROD000024,2024-04-07,1,120.50
ORDER00388,CUST000138,PROD000013,2024-12-10,5,150.75
ORDER00389,CUST000309,PROD000002,2024-02-07,2,150.50
ORDER00390,CUST000412,PROD000025,2024-10-27,5,20.25
ORDER00391,CUST000112,PROD000016,2024-04-16,3,45.25
ORDER00392,CUST000156,PROD000030,2024-01-08,2,35.50
ORDER00393,CUST000480,PROD000007,2024-03-01,4,35.50
ORDER00394,CUST000469,PROD000008,2024-12-22,5,20.75
ORDER00395,CUST000361,PROD000007,2024-07-22,2,35.50
ORDER00396,CUST000283,PROD000011,2024-05-24,4,25.25
ORDER00397,CUST000239,PROD000018,2024-11-28,3,35.50
ORDER00398,CUST000158,PROD000009,2024-07-03,5,70.75
ORDER00399,CUST000452,PROD000016,2024-08-26,1,45.25
ORDER00400,CUST000412,PROD000024,2024-08-28,3,120.50
ORDER00401,CUST000469,PROD000007,2024-07-08,3,35.50
ORDER00402,CUST000212,PROD000002,2024-10-15,0,150.50
ORDER00403,CUST000443,PROD000008,2024-03-15,1,20.75
ORDER00404,CUST000134,PROD000018,2024-10-26,5,35.50
ORDER00405,CUST000369,PROD000014,2024-05-31,2,50.50
ORDER00406,CUST000101,PROD000011,2024-04-27,4,25.25
ORDER00407,CUST000292,PROD000027,2024-05-05,4,10.25
ORDER00408,CUST000282,PROD000021,2024-12-16,3,25.25
ORDER00409,CUST000132,PROD000025,2024-09-07,4,20.25
ORDER00410,CUST000236,PROD000006,2024-06-29,2,15.50
ORDER00411,CUST000072,PROD000024,2024-10-06,4,120.50
ORDER00412,CUST000095,PROD000030,2024-10-04,1,35.50
ORDER00413,CUST000269,PROD000002,2024-02-08,1,150.50
ORDER00414,CUST000392,PROD000001,2024-07-30,2,60.25
ORDER00415,CUST000432,PROD000021,2024-04-28,0,25.25
ORDER00416,CUST000035,PROD000023,2024-03-18,1,75.75
ORDER00417,CUST000112,PROD000017,2024-08-21,3,30.75
ORDER00418,CUST000031,PROD000020,2024-11-22,5,20.25
ORDER00419,CUST000468,PROD000016,2024-12-03,4,45.25
ORDER00420,CUST000009,PROD000001,2024-09-29,5,60.25
ORDER00421,CUST000211,PROD000001,2024-01-09,5,60.25
ORDER00422,CUST000370,PROD000009,2024-10-01,3,70.75
ORDER00423,CUST000009,PROD000017,2024-12-23,4,30.75
ORDER00424,CUST000413,PROD000030,2024-04-01,1,35.50
ORDER00425,CUST000471,PROD000004,2024-09-25,2,25.25
ORDER00426,CUST000124,PROD000007,2024-11-13,5,35.50
ORDER00427,CUST000130,PROD000027,2024-06-30,3,10.25
ORDER00428,CUST000408,PROD000013,2024-02-10,3,150.75
ORDER00429,CUST000492,PROD000013,2024-08-23,5,150.75
ORDER00430,CUST000125,PROD000023,2024-04-25,0,75.75
ORDER00431,CUST000154,PROD000022,2024-02-11,1,15.75
ORDER00432,CUST000048,PROD000013,2024-07-13,4,150.75
ORDER00433,CUST000283,PROD000016,2024-01-29,1,45.25
ORDER00434,CUST000360,PROD000006,2024-02-12,4,15.50
ORDER00435,CUST000433,PROD000014,2024-11-26,3,50.50
ORDER00436,CUST000290,PROD000028,2024-02-18,5,45.75
